ID;AREA;CAMPO_DE_FORMACION;NIVEL;ALCALDIA;INSCRITOS;EGRESADOS;GRADUADOS;Campo_For_Abrev;
14211;Área 4;Artes y humanidades;Especialidad;TLP;4;0;0;Artes y humanidades TLP;
"14212;Área 1;Ciencias naturales, matemáticas y estadística;Especialidad;TLP;29;21;19;Ciencias naturales, matemáticas y estadística TLP;"
14213;Área 3;Ciencias sociales y derecho;Especialidad;TLP;345;325;48;Ciencias sociales y derecho TLP;
14214;Área 4;Educación;Especialidad;TLP;0;5;0;Educación TLP;
14215;Área 2;Salud;Especialidad;TLP;997;271;570;Salud TLP;
14221;Área 4;Artes y humanidades;Maestría;TLP;112;56;45;Artes y humanidades TLP;
"14222;Área 1;Ciencias naturales, matemáticas y estadística;Maestría;TLP;52;24;15;Ciencias naturales, matemáticas y estadística TLP;"
14223;Área 3;Ciencias sociales y derecho;Maestría;TLP;1161;479;343;Ciencias sociales y derecho TLP;
14224;Área 4;Educación;Maestría;TLP;468;144;44;Educación TLP;
"14225;Área 1;Ingeniería, manufactura y construcción;Maestría;TLP;50;20;10;Ingeniería, manufactura y construcción TLP;"
14226;Área 2;Salud;Maestría;TLP;27;14;9;Salud TLP;
14231;Área 4;Artes y humanidades;Doctorado;TLP;158;96;66;Artes y humanidades TLP;
"14232;Área 1;Ciencias naturales, matemáticas y estadística;Doctorado;TLP;43;0;17;Ciencias naturales, matemáticas y estadística TLP;"
14233;Área 3;Ciencias sociales y derecho;Doctorado;TLP;324;102;40;Ciencias sociales y derecho TLP;
14234;Área 4;Educación;Doctorado;TLP;66;21;18;Educación TLP;
"14235;Área 1;Ingeniería, manufactura y construcción;Doctorado;TLP;18;1;1;Ingeniería, manufactura y construcción TLP;"
15221;Área 4;Educación;Maestría;VCA;236;130;40;Educación VCA;
16211;Área 3;Ciencias sociales y derecho;Especialidad;XOC;40;13;12;Ciencias sociales y derecho XOC;
16221;Área 3;Ciencias sociales y derecho;Maestría;XOC;73;28;17;Ciencias sociales y derecho XOC;
































































































































































































































































































































































































































































































































































































































































































































































































